"Marca","Modelo","mpg","cylinders","displacement","horsepower","weight","acceleration","Year","Idade Veiculo","origin"
"ford","torino","ND",3,302,"140",3449,10.5,1970,54,"usa"
"ford","galaxie 500","ND",4,429,"198",4341,10,2020,4,"usa"
"amc","ambassador dpl","ND",8,390,"190",3850,8.5,1925,99,"usa"
"dodge","challenger se","ND",3,383,"170",3563,10,1970,54,"usa"
"plymouth","'cuda 340","ND",8,340,"160",3609,8,1970,54,"usa"
"chevrolet","monte carlo","ND",8,400,"150",3761,9.5,1970,54,"usa"
"buick","estate wagon (sw)","14.0",8,455,"225",3086,10,1970,54,"usa"
"toyota","corona mark ii","ND",4,113,"95",2372,15,1970,54,"japan"
"plymouth","duster","22.0",6,198,"95",2833,15.5,1970,54,"usa"
"amc","hornet","ND",6,199,"97",2774,15.5,1970,54,"usa"
"ford","maverick","ND",6,200,"85",2587,16,1970,54,"usa"
"datsun","pl510","27.0",4,97,"88",2130,14.5,1970,54,"japan"
"volkswagen","1131 deluxe sedan","26.0",4,97,"46",1835,20.5,1970,54,"europe"
"peugeot","504","25.0",4,110,"87",2672,17.5,1970,54,"europe"
"audi","100 ls","24.0",4,107,"90",2430,14.5,1970,54,"europe"
"saab","99e","25.0",4,104,"95",2375,17.5,1970,54,"europe"
"bmw","2002","26.0",4,121,"113",2234,12.5,1970,54,"europe"
"amc","gremlin","21.0",6,199,"90",2648,15,1970,54,"usa"
"ford","f250","10.0",8,360,"215",4615,14,1970,54,"usa"
"chevy","c20","10.0",8,307,"200",4376,15,1970,54,"usa"
"dodge","d200","11.0",8,318,"210",4382,13.5,1970,54,"usa"
"hi","1200d","9.0",8,304,"193",4732,18.5,1970,54,"usa"
"datsun","pl510","27.0",4,97,"88",2130,14.5,1971,53,"japan"
"chevrolet","vega 2300","28.0",4,140,"90",2264,15.5,1971,53,"usa"
"toyota","corona","25.0",4,113,"95",2228,14,1971,53,"japan"
"ford","pinto","25.0",4,98,"ND",2046,19,1971,53,"usa"
"amc","gremlin","19.0",6,232,"100",2634,13,1971,53,"usa"
"plymouth","satellite custom","16.0",6,225,"105",3439,15.5,1971,53,"usa"
"chevrolet","chevelle malibu","17.0",6,250,"100",3329,15.5,1971,53,"usa"
"ford","torino 500","19.0",6,250,"88",3302,15.5,1971,53,"usa"
